+CSCOE+/logon.html,https://shvpn02.sankuai.com/+CSCOE+/logon.html,,35,200,11289,1676,398,text/html; charset=utf-8,249.131093ms,
+CSCOT+/translation,https://shvpn02.sankuai.com/+CSCOT+/translation,,39,200,0,1,1,text/x-translation,268.076772ms,
.well-known/apple-app-site-association,https://mindray.box.lenovo.com/.well-known/apple-app-site-association,,1284,200,448,155,15,application/octet-stream,217.170009ms,
.well-known/apple-app-site-association,https://mindrayfile.box.lenovo.com/.well-known/apple-app-site-association,,1284,200,448,155,15,application/octet-stream,213.96126ms,
.well-known/apple-app-site-association,https://minsights.box.lenovo.com/.well-known/apple-app-site-association,,1284,200,448,155,15,application/octet-stream,214.935733ms,
.well-known/apple-app-site-association,https://minsights.extres.box.lenovo.com/.well-known/apple-app-site-association,,1284,200,448,155,15,application/octet-stream,216.973362ms,
;/login,http://registry.meituan.com:8080/;/login,,1717,200,31948,1613,138,text/html;charset=UTF-8,343.753434ms,
;admin/,http://registry.meituan.com:8080/;admin/,,1718,200,139,12,10,text/html;charset=UTF-8,252.344383ms,
;json/,http://registry.meituan.com:8080/;json/,,1719,200,139,12,10,text/html;charset=UTF-8,262.170425ms,
;login/,http://registry.meituan.com:8080/;login/,,1720,200,139,12,10,text/html;charset=UTF-8,264.929346ms,
FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
